ATU_Number,Title,Category,Subsection,Status,Exemplar_Tales,Sources,Notes
50,The Sick Lion,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"The Lion, the Wolf, and the Fox (Aesop, Perry 258); The Lion, Wolf, and Fox (La Fontaine);  Liver of the Wise and Liver of the Foolish (Egyptian); The Hyena Outwitted (Indian); The King of the Tigers Is Sick (Malay)", https://sites.pitt.edu/~dash/type0050.html; https://libraryguides.missouri.edu/c.php?g=1083510,Classic ailing-lion fable; the fox tricks the wolf into being flayed  for medicinal hide. 
51,The Lion's Share,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Aesop (Phaedrus 1.5; Babrius; Perry 149/339); Caxton 1484; La Génisse, la Chèvre et la Brebis (La Fontaine I.6);  Dabbhapuppha Jataka (Indian); Rumi Masnavi", https://en.wikipedia.org/wiki/Lion%27s_share; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Thompson motif J811.1.  Historical 51*** subtype 'Fox as umpire to divide cheese'. 
52,The Donkey without a Heart,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"The Heart and Ears of the Buried Ass (Aesop, Perry 336); The Lion, the Jackal, and the Donkey (Panchatantra)",https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,"Motif K402.3.  Fox/jackal eats heart and ears, tells lion the ass had none."
53,The Fox at Court (Reynard at Court),Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Roman de Renart (medieval beast epic); Reynard the Fox cycle,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J864.2. Fox condemned to hang asks to see the geese first.
54,,Animal Tales,Wild Animals: The Clever Fox (Other Animal),unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,No entry verified in any consulted source.
55,The Animals Build a Road,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Various 'lazy fox refuses to dig well' tales (African-American Brer Rabbit; African folklore),https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif A2233.1. Animals refuse to help dig well/make road and are punished.
56,The Fox and the Magpie (Fox Through Sleight Steals the Young Magpies),Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,European Aesopic fables; Andrew & Leonora Lang collected variants,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K1788. Fox threatens to climb/cut down tree; bird feeds him her young.
57,The Raven with Cheese in His Mouth (Fox and Crow),Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Fox and Crow (Aesop, Perry 124); Le Corbeau et le Renard (La Fontaine I.2);  Phaedrus 1.13; Jambu-Khādaka-Jātaka and Anta-Jātaka (Indian);  Auac and Lamiran (Filipino)", https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090; https://www.duchas.ie/en/aath,Motif K334.1.  One of the most internationally widespread Aesopic fables. 
58,,Animal Tales,Wild Animals: The Clever Fox (Other Animal),unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,No entry verified.
59,The Fox and the Sour Grapes,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"The Fox and the Grapes (Aesop, Perry 15); Phaedrus 4.3; Le Renard et les Raisins (La Fontaine III.11)",https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J871.  Source of the idiom 'sour grapes'.
60,The Fox and the Crane Invite Each Other,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"The Fox and the Stork (Aesop/Phaedrus 1.26, Perry 426); Le Renard et la Cigogne (La Fontaine I.18); Russian/Ukrainian 'Lysytsya ta zhuravel'",https://en.wikipedia.org/wiki/The_Fox_and_the_Stork; https://en.wikipedia.org/wiki/Fox_and_Crane; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J1565.1. Featured in Bruegel's Netherlandish Proverbs (1559).
61,The Fox Persuades the Cock to Crow with Closed Eyes,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"The Fox and the Cock (Aesop, Perry 671); medieval Reynard cycle; Chaucer's Nun's Priest's Tale (Chanticleer and the Fox)",https://www.duchas.ie/en/aath; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K721. Often combined with reverse-trick where cock then asks fox to bless meal.
62,Peace Among the Animals,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"The Cock and the Fox (Aesop, Perry 671 variants)",https://www.duchas.ie/en/aath; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J1421. Fox claims a universal peace; flees when dogs approach.
63,The Fox Rids Himself of Fleas,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Various Norwegian, German, Danish, Scottish, Indian/Pakistani (jackal), and African-American (Georgia) variants",https://www.duchas.ie/en/aath; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K921. Fox submerges into water leaving only mouthful of wool above; fleas migrate; fox spits out wool.
64,Fox without a Tail,Animal Tales,Wild Animals: The Clever Fox (Other Animal),merged,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Former AT 64 'Tailless Fox Tries in Vain to Get Foxes to Cut off Tails' merged into ATU 2A 'Torn-off Tails' by Uther 2004.
65,The She-Fox's Suitors,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Die Hochzeit der Frau Füchsin / The Wedding of Mrs. Fox (Grimm KHM 38, both versions)",https://en.wikipedia.org/wiki/The_Wedding_of_Mrs._Fox; https://sites.pitt.edu/~dash/grimm038.html; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,"Motif N681. Grimm KHM 38 also classified as types 1350, 1352*, and 1510. Nine-tailed fox feigns death to test wife."
67**,The Fox Caught by the Butcher,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Irish tradition (15 catalogued variants in Duchas),https://www.duchas.ie/en/aath; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K634.1. Escape by throwing captor's clothes on the fire.
67,Fox in the Swollen River,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Aesopic 'drowning fox' tradition,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J873. Drowning fox claims he is merely swimming to a distant town.
68,The Jackal Trapped in the Animal Hide,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Panchatantra and Hitopadesha (Indian) — jackal eats into elephant carcass and is trapped when hide dries,https://www.duchas.ie/en/aath; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motifs K1022.1.1 and K565.2.
68*,Fox Jeers at the Fox Trap,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J655.2.
69,,Animal Tales,Wild Animals: The Clever Fox (Other Animal),unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,End of 'Clever Fox' subdivision; no entry verified.
70,More Cowardly Than the Hare,Animal Tales,Wild Animals: Other Wild Animals,active,"The Hares and the Frogs (Aesop, Perry 138); Babrius; Phaedrus; Le Lièvre et les Grenouilles (La Fontaine II.14)",https://www.wikidata.org/wiki/Q17165058; https://www.duchas.ie/en/aath; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J881.1. Hare finds creatures more timid than himself and laughs till his lip splits.
71,Contest of Frost and the Hare,Animal Tales,Wild Animals: Other Wild Animals,active,Slavic/Russian folktale tradition,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif H1541.1. Contest in enduring cold.
72*,The Hare Instructs His Sons,Animal Tales,Wild Animals: Other Wild Animals,active,—,https://www.duchas.ie/en/aath; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J61. Hare instructs sons to use their eyes to advantage.
72,The Rabbit Rides Fox A-Courting,Animal Tales,Wild Animals: Other Wild Animals,active,"Mr. Rabbit Grossly Deceives Mr. Fox (Joel Chandler Harris, Uncle Remus)",https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K1241. Trickster rides dupe horseback.
73,Blinding the Guard,Animal Tales,Wild Animals: Other Wild Animals,active,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K621. Escape by blinding the guard.
74,,Animal Tales,Wild Animals: Other Wild Animals,unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,No entry verified.
75,The Help of the Weak,Animal Tales,Wild Animals: Other Wild Animals,active,"The Lion and the Mouse (Aesop, Perry 150); Le Lion et le Rat (La Fontaine II.11); Indian variants; Krylov 1833 Russian version",https://en.m.wikipedia.org/wiki/The_Lion_and_the_Mouse; https://www.duchas.ie/en/aath; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif B371.1. Mouse gnaws net and liberates captured lion.
76,The Wolf and the Crane,Animal Tales,Wild Animals: Other Wild Animals,active,"The Wolf and the Crane (Aesop, Perry 156); Phaedrus 1.8; Le Loup et la Cigogne (La Fontaine III.9); Jataka variants with lion + bird",https://www.duchas.ie/en/aath; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif W154.3. Crane removes bone from wolf's throat; wolf refuses payment.
77,The Stag Admires Himself in a Spring,Animal Tales,Wild Animals: Other Wild Animals,active,"The Stag at the Pool (Aesop, Perry 74); Phaedrus 1.12; Le Cerf se voyant dans l'eau (La Fontaine VI.9)",https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif L461. Stag scorns his legs but is proud of horns; antlers cause his death.
78,The Animal Holds Tightly to His Supposed Protector,Animal Tales,Wild Animals: Other Wild Animals,active,Aesop and Brer Rabbit traditions,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K713.1.2. Animal allows himself to be tied to another for safety.
79-80,,Animal Tales,Wild Animals: Other Wild Animals,unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,"No entries verified. Note: 'Belling the Cat / Council of the Mice' is ATU 110, not 80."
81,Too Cold for Hare to Build House in Winter,Animal Tales,Wild Animals: Other Wild Animals,active,Irish folktales (5 stories catalogued in Duchas),https://www.duchas.ie/en/aath,"Hare laments cold in winter, decides to build a house, but in summer forgets and goes without."
82-84,,Animal Tales,Wild Animals: Other Wild Animals,unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,No entries verified.
85,"The Mouse, the Bird, and the Sausage",Animal Tales,Wild Animals: Other Wild Animals,active,"Von dem Mäuschen, Vögelchen und der Bratwurst (Grimm KHM 23)","https://en.wikipedia.org/wiki/The_Mouse,_the_Bird,_and_the_Sausage; https://sites.pitt.edu/~dash/grimm023.html; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090",Motif J512.7. Three companions exchange roles with disastrous results.
86-90,,Animal Tales,Wild Animals: Other Wild Animals,unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,No entries verified.
91,The Heart of a Monkey as Medicine,Animal Tales,Wild Animals: Other Wild Animals,active,Indian Jataka tales (sea creature seeks monkey's heart); Swahili 'Sungura na Papa' (Hare and Shark),https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090; https://sites.pitt.edu/~dash/folktexts2.html,Motif K544. Escape by alleged possession of external soul; monkey claims heart is left in tree.
92,The Lion Dives for His Reflection,Animal Tales,Wild Animals: Other Wild Animals,active,"The Lion and the Hare / Bhâsuraka (Panchatantra); Bidpai 'The Lion and the Hare'; Singh Rajah and the Cunning Little Jackals (Mary Frere, Old Deccan Days, 1868); The Hare and the Lions (Tibetan, W. F. O'Connor); The Tiger and the Shadow (Malay); Brother Rabbit Conquers Brother Lion (Joel Chandler Harris)",https://sites.pitt.edu/~dash/type0092.html; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K1715.1. Weak animal shows strong his own reflection and frightens him.
93,The Master Taken Seriously,Animal Tales,Wild Animals: Other Wild Animals,active,L'Alouette et ses petits avec le maître d'un champ (La Fontaine IV.22); Aesopic lark-and-wheatfield fable,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J1031. Grain will only be cut when farmer attends to it himself.
94-99,,Animal Tales,Wild Animals: Other Wild Animals,unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,No entries verified. Type 100 begins the next subdivision 'Wild Animals and Domestic Animals'.
100,The Wolf Is Caught Because of His Singing,Animal Tales,Wild Animals and Domestic Animals,active,"'Wolf, Guest of the Dog, Sings' (AT 100 variants)",https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J581.1. Wolf as dog's guest sings and is discovered. Survives unchanged from AT to ATU.
101,The Old Dog as Rescuer of the Child,Animal Tales,Wild Animals and Domestic Animals,active,"Old Sultan / Der alte Sultan (Grimm KHM 48); The Bear, the Dog, and the Cat (Afanasyev, Russian)",https://libraryguides.missouri.edu/c.php?g=1083510; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K231.1.3.
102,The Dog as the Wolf's Shoemaker,Animal Tales,Wild Animals and Domestic Animals,active,'Fox Makes Clothes for the Wolf' (AT 102 variants),https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K254.1.
103,War Between Wild Animals and Domestic Animals,Animal Tales,Wild Animals and Domestic Animals,active,"Struggle Between the Wolf and the Fox (German, Kurt)",https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090; https://libraryguides.missouri.edu/c.php?g=1083510,Motif B262. Former AT 104 'War Between the Village Animals and the Forest Animals' merged into ATU 103 by Uther 2004.
104,The Cowardly Duelers (War Between Village & Forest Animals),Animal Tales,Wild Animals and Domestic Animals,merged,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Former AT 104 merged into ATU 103 by Uther 2004; no longer a discrete tale type.
105*,Hedgehog's Only Trick,Animal Tales,Wild Animals and Domestic Animals,active,Father of a Hundred Tricks (Arab); Hedgehog and Fox (Greek),https://libraryguides.missouri.edu/c.php?g=1083510,Motif K522.
105,The Cat's Only Trick,Animal Tales,Wild Animals and Domestic Animals,active,The Fox and the Cat / Der Fuchs und die Katze (Grimm KHM 75),https://libraryguides.missouri.edu/c.php?g=1083510; https://sites.pitt.edu/~dash/folktexts.html,Motif J1662. Cat with one trick (climbing tree) escapes; fox with hundred tricks is caught.
106,Animals' Conversation,Animal Tales,Wild Animals and Domestic Animals,active,Sow and Her Banbh (Irish),https://libraryguides.missouri.edu/c.php?g=1083510,—
107-109,,Animal Tales,Wild Animals and Domestic Animals,unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,No entries in Missouri or Ashliman.
110,Belling the Cat,Animal Tales,Wild Animals and Domestic Animals,active,"Aesopic fable (Perry 613); Odo of Cheriton, Parabolae c.1200 (earliest); Piers Plowman (Langland); Eustache Deschamps; Laurentius Abstemius (1499); Gabriele Faerno (1564)",https://en.wikipedia.org/wiki/Belling_the_Cat; https://libraryguides.missouri.edu/c.php?g=1083510,Motif J671.1. Source of idiom 'to bell the cat'. Often confused with the distinct fable 'The Cat and the Mice' (Perry 79).
111,The Cat and the Mouse Converse,Animal Tales,Wild Animals and Domestic Animals,active,"Mouse and Mouser (Briggs, English); Catties Sit in the Kiln-Ring Spinning (Scottish)",https://libraryguides.missouri.edu/c.php?g=1083510; https://sites.pitt.edu/~dash/cat.html,Motif K561.1.1.
112,Country Mouse Visits the Town Mouse,Animal Tales,Wild Animals and Domestic Animals,active,"Aesop (Perry 352); Babrius Fable 108; Horace Satires II.6; Walter of England (12th c.); The Twa Mice (Robert Henryson); Le rat de ville et le rat des champs (La Fontaine I.9); The Tale of Johnny Town-Mouse (Beatrix Potter, 1918)",https://en.wikipedia.org/wiki/The_Town_Mouse_and_the_Country_Mouse; https://sites.pitt.edu/~dash/type0112.html,Motif J211.2.
113,,Animal Tales,Wild Animals and Domestic Animals,unassigned,—,https://libraryguides.missouri.edu/c.php?g=1083510,No top-level type; only subtypes 113A and 113B exist in Uther 2004.
114-118,,Animal Tales,Wild Animals and Domestic Animals,unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,No entries in any consulted source.
120,The First to See the Sunrise,Animal Tales,Wild Animals and Domestic Animals,active,'Wager to See the Sunrise First' (AT 120 variants),https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K52.
121,Wolves Climb on Top of One Another to a Tree,Animal Tales,Wild Animals and Domestic Animals,active,The Scalded Wolf (French); Dexterity of a Squirrel (Indian),https://libraryguides.missouri.edu/c.php?g=1083510,Motif J2133.6.
122,The Wolf Loses His Prey (Animal Loses Prey by False Plea),Animal Tales,Wild Animals and Domestic Animals,active,Dancing the River (African-American); No Chicken Tonight,https://libraryguides.missouri.edu/c.php?g=1083510,Motif K550. Parent type for the 122A–122Z subtype cluster.
123,The Wolf and the Kids,Animal Tales,Wild Animals and Domestic Animals,active,"Der Wolf und die sieben jungen Geißlein / The Wolf and the Seven Young Goats (Grimm KHM 5); The She-Goat, the Kid, and the Wolf (Aesop); Marie de France 'The Wolf, the Goat, and the Kid'; The Wolf, the Goat and the Kid (La Fontaine IV); Der Edelstein tale 33 (Ulrich Boner); The Nanny Goat with the Iron Horns (El-Shamy, Egyptian); Cutta Cord-La (African-American); The Golden Chain from Heaven (Japanese)",https://en.wikipedia.org/wiki/The_Wolf_and_the_Seven_Young_Goats; https://sites.pitt.edu/~dash/grimm005.html; https://libraryguides.missouri.edu/c.php?g=1083510,"Motifs K1832, F913, Q426. Wolf disguises voice/paw to gain entry; kids hide; rescue from wolf's belly."
124,Blowing the House In (Three Little Pigs),Animal Tales,Wild Animals and Domestic Animals,active,"The Story of the Three Little Pigs (Halliwell-Phillipps, Nursery Rhymes of England, c.1843/1886; Joseph Jacobs, English Fairy Tales, 1890); The Fox and the Pixies (Dartmoor, 1853 — earliest known printed version); The Awful Fate of Mr. Wolf and The Story of the Pigs (Joel Chandler Harris); The Three Goslings (Crane, Italian); Three Cottages / Little Geese (Calvino)",https://en.wikipedia.org/wiki/The_Three_Little_Pigs; https://sites.pitt.edu/~dash/type0124.html; https://libraryguides.missouri.edu/c.php?g=1083510,Motif Z81.
125,The Wolf Flees from the Wolf-Head,Animal Tales,Wild Animals and Domestic Animals,active,"Ram, the Cat, the Twelve Wolves (Afanasyev, Russian)",https://libraryguides.missouri.edu/c.php?g=1083510,Motif K1715.3.
126,The Sheep Chases the Wolf,Animal Tales,Wild Animals and Domestic Animals,active,Two Close Calls (Arab); 'Goat Frightens a Lion' (AT 126 variants),https://libraryguides.missouri.edu/c.php?g=1083510; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K1715.
127-129,,Animal Tales,Wild Animals and Domestic Animals,unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,No entries in any consulted source.
130,The Animals in Night Quarters (Bremen Town Musicians),Animal Tales,Wild Animals and Domestic Animals,active,"Die Bremer Stadtmusikanten (Grimm KHM 27, 1819, from Dorothea Viehmann); The Sheep and the Pig Who Set Up House (Asbjørnsen, Norwegian); The Animals and the Devil (Finnish); The Choristers of St. Gudule (Flemish); The Story of the White Pet (Campbell, Scottish); Jack and His Comrades (Kennedy, Irish); Benibaire (Spanish); The World's Reward (South African); Tale of Nung-kua-ma (Chinese); How the Animals Kept the Lions Away (Arab)",https://en.wikipedia.org/wiki/Town_Musicians_of_Bremen; https://libraryguides.missouri.edu/c.php?g=1083510,"Motifs B296, K335, K1161. Closely related to ATU 210. Aarne suggested Asian origin; Delarue identified Western (domestic animals) and Eastern (small animals) variants."
131,Tiger as False Friend to the Cow,Animal Tales,Wild Animals and Domestic Animals,active,AT 131 tradition,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J427.
132,Goat Admires His Horns in the Water,Animal Tales,Wild Animals and Domestic Animals,active,AT 132 tradition,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K1775.
133-135,,Animal Tales,Wild Animals and Domestic Animals,unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,No entries in any consulted source.
136,Wolf Surprises Pig in Apple Tree,Animal Tales,Wild Animals and Domestic Animals,active,AT 136 tradition,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K1043.
137,The Filthy Hog and the Clean Fish,Animal Tales,Wild Animals and Domestic Animals,active,AT 137 tradition (same title),https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,—
